Street Address,City,State,Storm Magnitude,AI Damage Score %,Likely Insurance,Event Date
120 E 15th St,Edmond,OK,2.75,31.8,Unknown,2026-03-10
244 NW 10th St,Oklahoma City,OK,1.85,31.8,Unknown,2026-04-23
114 Wilshire Blvd,Nichols Hills,OK,2.25,31.79,Unknown,2026-04-25
267 E 2nd St,Edmond,OK,2.75,31.79,Unknown,2026-03-10
106 Wilshire Blvd,Nichols Hills,OK,2.25,31.78,Unknown,2026-04-25
142 Wilshire Blvd,Nichols Hills,OK,2.25,31.75,Unknown,2026-04-25
242 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
244 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
246 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
248 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
250 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
252 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
254 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
256 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
258 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
260 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
262 E 15th St,Edmond,OK,2.75,31.75,Unknown,2026-03-10
265 E 2nd St,Edmond,OK,2.75,31.74,Unknown,2026-03-10
113 N May Ave,Oklahoma City,OK,1.85,31.74,Unknown,2026-04-23
144 Wilshire Blvd,Nichols Hills,OK,2.25,31.71,Unknown,2026-04-25
111 N May Ave,Oklahoma City,OK,1.85,31.7,Unknown,2026-04-23
294 E 15th St,Edmond,OK,2.75,31.67,Unknown,2026-03-10
295 E 15th St,Edmond,OK,2.75,31.67,Unknown,2026-03-10
263 E 2nd St,Edmond,OK,2.75,31.67,Unknown,2026-03-10
156 E 15th St,Edmond,OK,2.75,31.66,Unknown,2026-03-10
115 NW 10th St,Oklahoma City,OK,1.85,31.66,Unknown,2026-04-23
281 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,31.64,Unknown,2026-04-25
245 E 15th St,Edmond,OK,2.75,31.63,Unknown,2026-03-10
240 E 15th St,Edmond,OK,2.75,31.62,Unknown,2026-03-10
117 NW 10th St,Oklahoma City,OK,1.85,31.6,Unknown,2026-04-23
142 N Bryant Ave,Edmond,OK,2.75,31.59,Unknown,2026-03-10
161 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,31.58,Unknown,2026-04-25
150 Wilshire Blvd,Nichols Hills,OK,2.25,31.54,Unknown,2026-04-25
197 W Robinson St,Norman,OK,2.0,31.51,Unknown,2026-03-10
387 W Robinson St,Norman,OK,2.0,31.51,Unknown,2026-03-10
165 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,31.5,Unknown,2026-04-25
271 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,31.5,Unknown,2026-04-25
113 NW 10th St,Oklahoma City,OK,1.85,31.5,Unknown,2026-04-23
134 N Bryant Ave,Edmond,OK,2.75,31.49,Unknown,2026-03-10
140 N Bryant Ave,Edmond,OK,2.75,31.47,Unknown,2026-03-10
146 Wilshire Blvd,Nichols Hills,OK,2.25,31.46,Unknown,2026-04-25
148 Wilshire Blvd,Nichols Hills,OK,2.25,31.45,Unknown,2026-04-25
299 E 15th St,Edmond,OK,2.75,31.44,Unknown,2026-03-10
324 E 2nd St,Edmond,OK,2.75,31.44,Unknown,2026-03-10
297 E 15th St,Edmond,OK,2.75,31.42,Unknown,2026-03-10
108 Wilshire Blvd,Nichols Hills,OK,2.25,31.39,Unknown,2026-04-25
152 Wilshire Blvd,Nichols Hills,OK,2.25,31.34,Unknown,2026-04-25
160 Wilshire Blvd,Nichols Hills,OK,2.25,31.31,Unknown,2026-04-25
136 N Bryant Ave,Edmond,OK,2.75,31.3,Unknown,2026-03-10
138 N Bryant Ave,Edmond,OK,2.75,31.3,Unknown,2026-03-10
187 N Bryant Ave,Edmond,OK,2.75,31.3,Unknown,2026-03-10
189 N Bryant Ave,Edmond,OK,2.75,31.3,Unknown,2026-03-10
150 E 15th St,Edmond,OK,2.75,31.29,Unknown,2026-03-10
197 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,31.27,Unknown,2026-04-25
112 Wilshire Blvd,Nichols Hills,OK,2.25,31.27,Unknown,2026-04-25
164 Wilshire Blvd,Nichols Hills,OK,2.25,31.26,Unknown,2026-04-25
289 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,31.25,Unknown,2026-04-25
152 E 15th St,Edmond,OK,2.75,31.23,Unknown,2026-03-10
119 NW 10th St,Oklahoma City,OK,1.85,31.22,Unknown,2026-04-23
158 E 15th St,Edmond,OK,2.75,31.2,Unknown,2026-03-10
232 NW 10th St,Oklahoma City,OK,1.85,31.2,Unknown,2026-04-23
163 E 15th St,Edmond,OK,2.75,31.19,Unknown,2026-03-10
122 N Bryant Ave,Edmond,OK,2.75,31.18,Unknown,2026-03-10
110 Wilshire Blvd,Nichols Hills,OK,2.25,31.15,Unknown,2026-04-25
162 Wilshire Blvd,Nichols Hills,OK,2.25,31.15,Unknown,2026-04-25
194 N May Ave,Oklahoma City,OK,1.85,31.14,Unknown,2026-04-23
190 N May Ave,Oklahoma City,OK,1.85,31.07,Unknown,2026-04-23
106 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,31.06,Unknown,2026-04-25
154 Wilshire Blvd,Nichols Hills,OK,2.25,31.06,Unknown,2026-04-25
165 E 15th St,Edmond,OK,2.75,31.06,Unknown,2026-03-10
111 NW 10th St,Oklahoma City,OK,1.85,31.05,Unknown,2026-04-23
159 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,31.04,Unknown,2026-04-25
319 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,31.04,Unknown,2026-04-25
246 NW 10th St,Oklahoma City,OK,1.85,31.04,Unknown,2026-04-23
196 W Robinson St,Norman,OK,2.0,31.02,Unknown,2026-03-10
279 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,31.01,Unknown,2026-04-25
166 Wilshire Blvd,Nichols Hills,OK,2.25,31.01,Unknown,2026-04-25
109 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,31.0,Unknown,2026-04-25
158 Wilshire Blvd,Nichols Hills,OK,2.25,31.0,Unknown,2026-04-25
156 Wilshire Blvd,Nichols Hills,OK,2.25,30.99,Unknown,2026-04-25
168 Wilshire Blvd,Nichols Hills,OK,2.25,30.98,Unknown,2026-04-25
167 E 15th St,Edmond,OK,2.75,30.98,Unknown,2026-03-10
192 N May Ave,Oklahoma City,OK,1.85,30.98,Unknown,2026-04-23
104 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.97,Unknown,2026-04-25
364 SW Jackson St,Topeka,KS,2.75,30.95,Unknown,2026-04-12
269 E 2nd St,Edmond,OK,2.75,30.94,Unknown,2026-03-10
121 NW 10th St,Oklahoma City,OK,1.85,30.94,Unknown,2026-04-23
113 Wilshire Blvd,Nichols Hills,OK,2.25,30.9,Unknown,2026-04-25
385 W Robinson St,Norman,OK,2.0,30.88,Unknown,2026-03-10
186 E 15th St,Edmond,OK,2.75,30.87,Unknown,2026-03-10
320 E 2nd St,Edmond,OK,2.75,30.87,Unknown,2026-03-10
285 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.84,Unknown,2026-04-25
109 NW 10th St,Oklahoma City,OK,1.85,30.84,Unknown,2026-04-23
170 Wilshire Blvd,Nichols Hills,OK,2.25,30.79,Unknown,2026-04-25
107 NW 10th St,Oklahoma City,OK,1.85,30.78,Unknown,2026-04-23
172 Wilshire Blvd,Nichols Hills,OK,2.25,30.77,Unknown,2026-04-25
122 E 15th St,Edmond,OK,2.75,30.77,Unknown,2026-03-10
183 N Bryant Ave,Edmond,OK,2.75,30.77,Unknown,2026-03-10
186 N May Ave,Oklahoma City,OK,1.85,30.77,Unknown,2026-04-23
188 N May Ave,Oklahoma City,OK,1.85,30.76,Unknown,2026-04-23
156 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.75,Unknown,2026-04-25
222 Wilshire Blvd,Nichols Hills,OK,2.25,30.73,Unknown,2026-04-25
326 E 2nd St,Edmond,OK,2.75,30.73,Unknown,2026-03-10
280 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.72,Unknown,2026-04-25
220 Wilshire Blvd,Nichols Hills,OK,2.25,30.72,Unknown,2026-04-25
279 E 2nd St,Edmond,OK,2.75,30.7,Unknown,2026-03-10
203 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.69,Unknown,2026-04-25
185 N Bryant Ave,Edmond,OK,2.75,30.69,Unknown,2026-03-10
328 E 2nd St,Edmond,OK,2.75,30.69,Unknown,2026-03-10
226 E 2nd St,Edmond,OK,2.75,30.68,Unknown,2026-03-10
205 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.67,Unknown,2026-04-25
157 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.66,Unknown,2026-04-25
174 Wilshire Blvd,Nichols Hills,OK,2.25,30.66,Unknown,2026-04-25
214 E 2nd St,Edmond,OK,2.75,30.66,Unknown,2026-03-10
224 NW 10th St,Oklahoma City,OK,1.85,30.66,Unknown,2026-04-23
119 N Bryant Ave,Edmond,OK,2.75,30.65,Unknown,2026-03-10
180 Wilshire Blvd,Nichols Hills,OK,2.25,30.64,Unknown,2026-04-25
217 NW 10th St,Oklahoma City,OK,1.85,30.62,Unknown,2026-04-23
178 Wilshire Blvd,Nichols Hills,OK,2.25,30.61,Unknown,2026-04-25
184 Wilshire Blvd,Nichols Hills,OK,2.25,30.61,Unknown,2026-04-25
105 NW 10th St,Oklahoma City,OK,1.85,30.6,Unknown,2026-04-23
106 NW 10th St,Oklahoma City,OK,1.85,30.6,Unknown,2026-04-23
108 NW 10th St,Oklahoma City,OK,1.85,30.6,Unknown,2026-04-23
176 Wilshire Blvd,Nichols Hills,OK,2.25,30.59,Unknown,2026-04-25
277 E 2nd St,Edmond,OK,2.75,30.59,Unknown,2026-03-10
140 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.54,Unknown,2026-04-25
100 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.53,Unknown,2026-04-25
383 W Robinson St,Norman,OK,2.0,30.52,Unknown,2026-03-10
186 Wilshire Blvd,Nichols Hills,OK,2.25,30.51,Unknown,2026-04-25
219 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.5,Unknown,2026-04-25
269 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.5,Unknown,2026-04-25
144 N Bryant Ave,Edmond,OK,2.75,30.49,Unknown,2026-03-10
184 N May Ave,Oklahoma City,OK,1.85,30.46,Unknown,2026-04-23
199 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.45,Unknown,2026-04-25
139 N High St,,NATIONAL_EXHAUSTIVE,2.0,30.45,Unknown,2026-04-25
158 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.45,Unknown,2026-04-25
263 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.44,Unknown,2026-04-25
226 NW 10th St,Oklahoma City,OK,1.85,30.44,Unknown,2026-04-23
228 NW 10th St,Oklahoma City,OK,1.85,30.44,Unknown,2026-04-23
278 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.43,Unknown,2026-04-25
275 E 2nd St,Edmond,OK,2.75,30.42,Unknown,2026-03-10
182 Wilshire Blvd,Nichols Hills,OK,2.25,30.41,Unknown,2026-04-25
276 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.4,Unknown,2026-04-25
273 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.4,Unknown,2026-04-25
230 NW 10th St,Oklahoma City,OK,1.85,30.4,Unknown,2026-04-23
318 E 2nd St,Edmond,OK,2.75,30.39,Unknown,2026-03-10
138 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.38,Unknown,2026-04-25
400 SW Jackson St,Topeka,KS,2.75,30.38,Unknown,2026-04-12
181 N Bryant Ave,Edmond,OK,2.75,30.36,Unknown,2026-03-10
271 E 2nd St,Edmond,OK,2.75,30.36,Unknown,2026-03-10
223 Wilshire Blvd,Nichols Hills,OK,2.25,30.34,Unknown,2026-04-25
306 E 2nd St,Edmond,OK,2.75,30.34,Unknown,2026-03-10
248 NW 10th St,Oklahoma City,OK,1.85,30.34,Unknown,2026-04-23
265 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.33,Unknown,2026-04-25
154 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.33,Unknown,2026-04-25
228 E 2nd St,Edmond,OK,2.75,30.33,Unknown,2026-03-10
198 W Robinson St,Norman,OK,2.0,30.33,Unknown,2026-03-10
199 W Robinson St,Norman,OK,2.0,30.33,Unknown,2026-03-10
101 NW 10th St,Oklahoma City,OK,1.85,30.33,Unknown,2026-04-23
191 N Bryant Ave,Edmond,OK,2.75,30.32,Unknown,2026-03-10
330 E 2nd St,Edmond,OK,2.75,30.32,Unknown,2026-03-10
131 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.31,Unknown,2026-04-25
267 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.31,Unknown,2026-04-25
216 E 2nd St,Edmond,OK,2.75,30.3,Unknown,2026-03-10
223 NW 10th St,Oklahoma City,OK,1.85,30.3,Unknown,2026-04-23
286 E 2nd St,Edmond,OK,2.75,30.29,Unknown,2026-03-10
160 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.28,Unknown,2026-04-25
188 Wilshire Blvd,Nichols Hills,OK,2.25,30.28,Unknown,2026-04-25
103 NW 10th St,Oklahoma City,OK,1.85,30.28,Unknown,2026-04-23
280 E 2nd St,Edmond,OK,2.75,30.25,Unknown,2026-03-10
273 E 2nd St,Edmond,OK,2.75,30.22,Unknown,2026-03-10
140 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.21,Unknown,2026-04-25
322 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,30.21,Unknown,2026-04-25
226 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.19,Unknown,2026-04-25
332 E 2nd St,Edmond,OK,2.75,30.18,Unknown,2026-03-10
228 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.17,Unknown,2026-04-25
102 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.17,Unknown,2026-04-25
262 E 2nd St,Edmond,OK,2.75,30.17,Unknown,2026-03-10
282 E 2nd St,Edmond,OK,2.75,30.17,Unknown,2026-03-10
336 E 2nd St,Edmond,OK,2.75,30.17,Unknown,2026-03-10
219 NW 10th St,Oklahoma City,OK,1.85,30.17,Unknown,2026-04-23
192 Wilshire Blvd,Nichols Hills,OK,2.25,30.14,Unknown,2026-04-25
281 E 2nd St,Edmond,OK,2.75,30.14,Unknown,2026-03-10
284 E 2nd St,Edmond,OK,2.75,30.14,Unknown,2026-03-10
200 W Robinson St,Norman,OK,2.0,30.14,Unknown,2026-03-10
201 W Robinson St,Norman,OK,2.0,30.14,Unknown,2026-03-10
182 N May Ave,Oklahoma City,OK,1.85,30.14,Unknown,2026-04-23
278 E 2nd St,Edmond,OK,2.75,30.13,Unknown,2026-03-10
310 E 2nd St,Edmond,OK,2.75,30.12,Unknown,2026-03-10
334 E 2nd St,Edmond,OK,2.75,30.12,Unknown,2026-03-10
277 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,30.1,Unknown,2026-04-25
308 E 2nd St,Edmond,OK,2.75,30.1,Unknown,2026-03-10
201 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.09,Unknown,2026-04-25
224 Wilshire Blvd,Nichols Hills,OK,2.25,30.06,Unknown,2026-04-25
136 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.05,Unknown,2026-04-25
114 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,30.04,Unknown,2026-04-25
117 N Bryant Ave,Edmond,OK,2.75,30.04,Unknown,2026-03-10
179 N Bryant Ave,Edmond,OK,2.75,30.04,Unknown,2026-03-10
250 NW 10th St,Oklahoma City,OK,1.85,30.04,Unknown,2026-04-23
271 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.0,Unknown,2026-04-25
273 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,30.0,Unknown,2026-04-25
230 E 2nd St,Edmond,OK,2.75,30.0,Unknown,2026-03-10
304 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.99,Unknown,2026-04-25
276 E 2nd St,Edmond,OK,2.75,29.98,Unknown,2026-03-10
252 NW 10th St,Oklahoma City,OK,1.85,29.98,Unknown,2026-04-23
288 W Robinson St,Norman,OK,2.0,29.97,Unknown,2026-03-10
201 E 1st St,Tulsa,OK,1.6,29.97,Unknown,2026-04-23
304 E 2nd St,Edmond,OK,2.75,29.96,Unknown,2026-03-10
196 Wilshire Blvd,Nichols Hills,OK,2.25,29.95,Unknown,2026-04-25
202 W Robinson St,Norman,OK,2.0,29.95,Unknown,2026-03-10
112 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.94,Unknown,2026-04-25
120 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,29.94,Unknown,2026-04-25
207 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.93,Unknown,2026-04-25
152 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.92,Unknown,2026-04-25
274 E 2nd St,Edmond,OK,2.75,29.91,Unknown,2026-03-10
258 NW 10th St,Oklahoma City,OK,1.85,29.91,Unknown,2026-04-23
218 E 2nd St,Edmond,OK,2.75,29.9,Unknown,2026-03-10
233 S Yale Ave,Tulsa,OK,2.0,29.9,Unknown,2026-04-23
"83139 Stephan's Crossing, Bryan, Texas 77842",East Gregory,TEXAS,3.33,29.89,Unknown,2026-04-11
"8648 Stephan's Crossing, Bryan, Texas 77842",East Gregory,TEXAS,3.33,29.89,Unknown,2026-04-11
194 Wilshire Blvd,Nichols Hills,OK,2.25,29.89,Unknown,2026-04-25
316 E 2nd St,Edmond,OK,2.75,29.89,Unknown,2026-03-10
287 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.87,Unknown,2026-04-25
180 N May Ave,Oklahoma City,OK,1.85,29.85,Unknown,2026-04-23
116 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.84,Unknown,2026-04-25
198 Wilshire Blvd,Nichols Hills,OK,2.25,29.84,Unknown,2026-04-25
202 Wilshire Blvd,Nichols Hills,OK,2.25,29.84,Unknown,2026-04-25
254 E 2nd St,Edmond,OK,2.75,29.84,Unknown,2026-03-10
286 W Robinson St,Norman,OK,2.0,29.84,Unknown,2026-03-10
256 NW 10th St,Oklahoma City,OK,1.85,29.84,Unknown,2026-04-23
266 NW 10th St,Oklahoma City,OK,1.85,29.84,Unknown,2026-04-23
268 E 2nd St,Edmond,OK,2.75,29.82,Unknown,2026-03-10
204 W Robinson St,Norman,OK,2.0,29.81,Unknown,2026-03-10
366 SW Jackson St,Topeka,KS,2.75,29.81,Unknown,2026-04-12
264 NW 10th St,Oklahoma City,OK,1.85,29.8,Unknown,2026-04-23
176 N May Ave,Oklahoma City,OK,1.85,29.8,Unknown,2026-04-23
338 E 2nd St,Edmond,OK,2.75,29.79,Unknown,2026-03-10
260 NW 10th St,Oklahoma City,OK,1.85,29.79,Unknown,2026-04-23
264 E 2nd St,Edmond,OK,2.75,29.78,Unknown,2026-03-10
178 N May Ave,Oklahoma City,OK,1.85,29.78,Unknown,2026-04-23
321 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.77,Unknown,2026-04-25
266 E 2nd St,Edmond,OK,2.75,29.77,Unknown,2026-03-10
220 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.76,Unknown,2026-04-25
231 S Yale Ave,Tulsa,OK,2.0,29.76,Unknown,2026-04-23
270 E 2nd St,Edmond,OK,2.75,29.75,Unknown,2026-03-10
260 E 2nd St,Edmond,OK,2.75,29.73,Unknown,2026-03-10
272 E 2nd St,Edmond,OK,2.75,29.71,Unknown,2026-03-10
172 N May Ave,Oklahoma City,OK,1.85,29.71,Unknown,2026-04-23
155 E 15th St,Edmond,OK,2.75,29.68,Unknown,2026-03-10
248 E 2nd St,Edmond,OK,2.75,29.68,Unknown,2026-03-10
118 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.67,Unknown,2026-04-25
164 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,29.67,Unknown,2026-04-25
317 E 2nd St,Edmond,OK,2.75,29.66,Unknown,2026-03-10
174 N May Ave,Oklahoma City,OK,1.85,29.66,Unknown,2026-04-23
110 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.64,Unknown,2026-04-25
348 E 2nd St,Edmond,OK,2.75,29.64,Unknown,2026-03-10
162 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.63,Unknown,2026-04-25
256 E 2nd St,Edmond,OK,2.75,29.63,Unknown,2026-03-10
292 W Robinson St,Norman,OK,2.0,29.63,Unknown,2026-03-10
250 E 2nd St,Edmond,OK,2.75,29.62,Unknown,2026-03-10
340 E 2nd St,Edmond,OK,2.75,29.62,Unknown,2026-03-10
258 E 2nd St,Edmond,OK,2.75,29.61,Unknown,2026-03-10
235 S Yale Ave,Tulsa,OK,2.0,29.61,Unknown,2026-04-23
254 NW 10th St,Oklahoma City,OK,1.85,29.61,Unknown,2026-04-23
252 E 2nd St,Edmond,OK,2.75,29.6,Unknown,2026-03-10
227 S Yale Ave,Tulsa,OK,2.0,29.6,Unknown,2026-04-23
283 E 2nd St,Edmond,OK,2.75,29.59,Unknown,2026-03-10
221 NW 10th St,Oklahoma City,OK,1.85,29.59,Unknown,2026-04-23
221 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.58,Unknown,2026-04-25
153 E 15th St,Edmond,OK,2.75,29.58,Unknown,2026-03-10
206 W Robinson St,Norman,OK,2.0,29.58,Unknown,2026-03-10
262 NW 10th St,Oklahoma City,OK,1.85,29.58,Unknown,2026-04-23
177 N Bryant Ave,Edmond,OK,2.75,29.57,Unknown,2026-03-10
290 W Robinson St,Norman,OK,2.0,29.57,Unknown,2026-03-10
142 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.56,Unknown,2026-04-25
246 E 2nd St,Edmond,OK,2.75,29.56,Unknown,2026-03-10
270 NW 10th St,Oklahoma City,OK,1.85,29.56,Unknown,2026-04-23
261 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.55,Unknown,2026-04-25
285 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.54,Unknown,2026-04-25
144 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.52,Unknown,2026-04-25
157 E 15th St,Edmond,OK,2.75,29.52,Unknown,2026-03-10
193 N Bryant Ave,Edmond,OK,2.75,29.52,Unknown,2026-03-10
272 NW 10th St,Oklahoma City,OK,1.85,29.51,Unknown,2026-04-23
216 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.49,Unknown,2026-04-25
230 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.49,Unknown,2026-04-25
150 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.49,Unknown,2026-04-25
159 E 15th St,Edmond,OK,2.75,29.49,Unknown,2026-03-10
346 E 2nd St,Edmond,OK,2.75,29.49,Unknown,2026-03-10
203 W Robinson St,Norman,OK,2.0,29.47,Unknown,2026-03-10
239 S Yale Ave,Tulsa,OK,2.0,29.47,Unknown,2026-04-23
268 NW 10th St,Oklahoma City,OK,1.85,29.47,Unknown,2026-04-23
166 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,29.46,Unknown,2026-04-25
274 NW 10th St,Oklahoma City,OK,1.85,29.45,Unknown,2026-04-23
162 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,29.44,Unknown,2026-04-25
204 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.44,Unknown,2026-04-25
152 N Bryant Ave,Edmond,OK,2.75,29.44,Unknown,2026-03-10
120 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.43,Unknown,2026-04-25
232 Wilshire Blvd,Nichols Hills,OK,2.25,29.43,Unknown,2026-04-25
168 N May Ave,Oklahoma City,OK,1.85,29.43,Unknown,2026-04-23
274 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.42,Unknown,2026-04-25
115 N Bryant Ave,Edmond,OK,2.75,29.42,Unknown,2026-03-10
224 E 2nd St,Edmond,OK,2.75,29.42,Unknown,2026-03-10
342 E 2nd St,Edmond,OK,2.75,29.42,Unknown,2026-03-10
350 E 2nd St,Edmond,OK,2.75,29.42,Unknown,2026-03-10
229 S Yale Ave,Tulsa,OK,2.0,29.42,Unknown,2026-04-23
133 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.41,Unknown,2026-04-25
134 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.41,Unknown,2026-04-25
206 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.41,Unknown,2026-04-25
144 W New England Ave,,NATIONAL_EXHAUSTIVE,2.0,29.39,Unknown,2026-04-25
230 Wilshire Blvd,Nichols Hills,OK,2.25,29.39,Unknown,2026-04-25
150 N Bryant Ave,Edmond,OK,2.75,29.39,Unknown,2026-03-10
175 N Bryant Ave,Edmond,OK,2.75,29.39,Unknown,2026-03-10
148 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.38,Unknown,2026-04-25
236 E 2nd St,Edmond,OK,2.75,29.38,Unknown,2026-03-10
224 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.37,Unknown,2026-04-25
202 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.37,Unknown,2026-04-25
302 E 2nd St,Edmond,OK,2.75,29.37,Unknown,2026-03-10
288 NW 10th St,Oklahoma City,OK,1.85,29.37,Unknown,2026-04-23
164 N May Ave,Oklahoma City,OK,1.85,29.37,Unknown,2026-04-23
166 N May Ave,Oklahoma City,OK,1.85,29.37,Unknown,2026-04-23
196 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.36,Unknown,2026-04-25
381 W Robinson St,Norman,OK,2.0,29.36,Unknown,2026-03-10
275 SW 10th Ave,,NATIONAL_EXHAUSTIVE,2.0,29.35,Unknown,2026-04-25
194 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,29.35,Unknown,2026-04-25
237 S Yale Ave,Tulsa,OK,2.0,29.35,Unknown,2026-04-23
146 N Bryant Ave,Edmond,OK,2.75,29.34,Unknown,2026-03-10
170 N May Ave,Oklahoma City,OK,1.85,29.32,Unknown,2026-04-23
161 E 15th St,Edmond,OK,2.75,29.31,Unknown,2026-03-10
244 E 2nd St,Edmond,OK,2.75,29.31,Unknown,2026-03-10
352 E 2nd St,Edmond,OK,2.75,29.3,Unknown,2026-03-10
344 E 2nd St,Edmond,OK,2.75,29.29,Unknown,2026-03-10
225 S Yale Ave,Tulsa,OK,2.0,29.29,Unknown,2026-04-23
245 S Yale Ave,Tulsa,OK,2.0,29.29,Unknown,2026-04-23
213 W Dublin-Granville Rd,,NATIONAL_EXHAUSTIVE,2.0,29.28,Unknown,2026-04-25
